DocumentName;Number_of_caracter;Area_of_letter;Area_of_word;Proportion_of_area_letter;Proportion_of_area_word;Proportion_of_area_letter2;Proportion_of_area_word2
Risques et pollution programme immo Gardenia-0.jpeg;2636;3277346;5068996;0,135587211;0,209709634;0,14;0,21
Risques et pollution programme immo Gardenia-1.jpeg;1718;684726;918652;0,028327826;0,038005588;0,03;0,04
Risques et pollution programme immo Gardenia-2.jpeg;4929;3054511;3270359;0,126368295;0,135298152;0,13;0,14
Risques et pollution programme immo Gardenia-3.jpeg;1461;6480076;7098935;0,268087481;0,293690321;0,27;0,29
Risques et pollution programme immo Gardenia-4.jpeg;1470;7115678;7186844;0,294382996;0,297327207;0,29;0,3
Risques et pollution programme immo Gardenia-5.jpeg;4379;2752602;3065870;0,113878006;0,126838229;0,11;0,13
Risques et pollution programme immo Gardenia-6.jpeg;3114;1701459;1928020;0,070391128;0,079764192;0,07;0,08
Risques et pollution programme immo Gardenia-7.jpeg;2484;2855346;3457238;0,118128632;0,14302953;0,12;0,14
Risques et pollution programme immo Gardenia-8.jpeg;2451;2486010;3251034;0,102848818;0,134498656;0,1;0,13
Suite programme Gardenia.jpeg;3199;3162538;4072283;0,130837485;0,168474581;0,13;0,17
